interval,transfer,bitrate,retr,cwnd,timestamp,%user,%nice,%system,%iowait,%steal,%idle[...]
1,30.6,257,34,485,2024-11-04 23:07:31,7.83,0.0,0.0,0.0,0.0,92.17
2,30.0,252,0,545,2024-11-04 23:07:32,0.26,0.0,26.28,0.26,0.0,73.21
3,30.0,252,0,585,2024-11-04 23:07:33,0.26,0.0,28.9,0.0,0.0,70.84
4,29.8,250,1,449,2024-11-04 23:07:34,0.0,0.0,28.46,0.0,0.0,71.54
5,30.1,253,0,493,2024-11-04 23:07:35,0.26,0.0,28.61,0.0,0.0,71.13
6,29.8,250,0,533,2024-11-04 23:07:36,0.0,0.0,28.72,0.0,0.0,71.28
7,28.6,240,0,569,2024-11-04 23:07:37,2.3,0.0,29.41,0.0,0.0,68.29
8,29.9,251,3,435,2024-11-04 23:07:38,25.64,0.0,28.72,0.0,0.0,45.64
9,30.0,252,0,495,2024-11-04 23:07:39,1.28,0.0,28.64,0.0,0.0,70.08
10,30.0,252,0,538,2024-11-04 23:07:40,0.0,0.0,29.52,0.0,0.0,70.48
11,28.8,241,0,566,2024-11-04 23:07:41,0.26,0.0,28.83,0.0,0.0,70.92
12,30.0,252,0,585,2024-11-04 23:07:42,1.54,0.0,29.23,0.26,0.0,68.97
13,29.1,244,1,449,2024-11-04 23:07:43,0.51,0.0,28.21,0.0,0.0,71.28
14,29.1,244,0,490,2024-11-04 23:07:44,6.62,0.0,29.26,0.0,0.0,64.12
15,29.6,249,0,531,2024-11-04 23:07:45,22.11,0.0,28.79,0.0,0.0,49.1
16,29.1,244,0,569,2024-11-04 23:07:46,0.51,0.0,28.28,0.0,0.0,71.21
17,29.8,250,2,436,2024-11-04 23:07:47,0.25,0.0,29.87,0.0,0.0,69.87
18,30.0,252,0,495,2024-11-04 23:07:48,0.51,0.0,28.32,0.0,0.0,71.17
19,29.8,250,0,538,2024-11-04 23:07:49,0.76,0.0,29.04,0.0,0.0,70.2
20,29.9,251,0,566,2024-11-04 23:07:50,0.26,0.0,28.9,0.0,0.0,70.84
21,27.2,229,28,430,2024-11-04 23:07:51,0.26,0.0,28.09,0.0,0.0,71.65
